oaci,uf,municipio,longitude,latitude
SBRB,Acre,Rio Branco,-9.8683333,-67.898056
SNGA,Espírito Santo,Guarapari,-20.646389,-40.491667
SBIZ,Maranhão,Imperatriz,-5.5305556,-47.458333
SBPC,Minas Gerais,Poços de Caldas,-21.837778,-46.566111
SSCD,Mato Grosso do Sul,Chapadão do Sul,-18.839167,-52.488056
SBBE,Pará,Belém,-1.3847222,-48.478889
SBKG,Paraíba,Campina Grande,-7.2691667,-35.895
SSNG,Rio Grande do Sul,Montenegro,-29.719722,-51.488889
SIMK,São Paulo,Franca,-20.590278,-47.3825
SBML,São Paulo,Marília,-22.195556,-49.926944
SNWC,Ceará,Camocim,-2.8958333,-40.858889
SSKM,Paraná,Campo Mourão,-24.0025,-52.356944
SBJP,Paraíba,João Pessoa,-7.1483333,-34.950278
SBMO,Alagoas,Maceió,-9.5108333,-35.791667
SWNS,Goiás,Anápolis,-16.3625,-48.928056
SNGX,Minas Gerais,Guaxupé,-21.326667,-46.730278
SBGL,Rio de Janeiro,Rio de Janeiro,-22.81,-43.250556
SBCF,Minas Gerais,Belo Horizonte,-19.624444,-43.971944
SBAE,São Paulo,Bauru,-22.157778,-49.068333
SBMG,Paraná,Maringá,-23.476389,-52.017778
SNQG,Piauí,Floriano,-6.8461111,-43.078056
SSKG,Mato Grosso do Sul,Campo Grande,-20.505556,-54.524722
SBCA,Paraná,Cascavel,-25.002222,-53.501944
SNIC,Bahia,Irecê,-11.34,-41.846944
SBPP,Mato Grosso do Sul,Ponta Porã,-22.549722,-55.703056
SNTS,Paraíba,Patos,-7.0377778,-37.2575
SBCX,Rio Grande do Sul,Caxias do Sul,-29.195556,-51.189722
SBBG,Rio Grande do Sul,Bagé,-31.390833,-54.109722
SSCN,Rio Grande do Sul,Canela,-29.370556,-50.832222
SSIM,Santa Catarina,Forquilhinha,-28.724444,-49.421111
SDPW,São Paulo,Piracicaba,-22.711944,-47.618056
SSKU,Santa Catarina,Curitibanos,-27.287222,-50.603889
SSAP,Paraná,Apucarana,-23.612222,-51.385
SBPA,Rio Grande do Sul,Porto Alegre,-29.994722,-51.171111
SBNM,Rio Grande do Sul,Santo Ângelo,-28.281667,-54.168333
SNAL,Alagoas,Arapiraca,-9.7763889,-36.630556
SWPZ,Goiás,Posse,-14.118056,-46.345278
SBSV,Bahia,Salvador,-12.908611,-38.3225
SBSO,Mato Grosso,Sorriso,-12.472778,-55.668889
SBGR,São Paulo,Guarulhos,-23.435556,-46.473056
SBJH,São Paulo,São Roque,-23.426944,-47.165833
SBMS,Rio Grande do Norte,Mossoró,-5.1958333,-37.361667
SWBE,Ceará,São Benedito,-4.0427778,-40.893889
SDDN,São Paulo,Andradina,-20.925,-51.381944
SNKI,Espírito Santo,Cachoeiro de Itapemirim,-20.835278,-41.186389
SBDB,Mato Grosso do Sul,Bonito,-21.247222,-56.4525
SNVI,Minas Gerais,Três Corações,-21.789167,-45.268056
SSLN,Santa Catarina,Lontras,-27.159722,-49.542778
SNTF,Bahia,Teixeira de Freitas,-17.524444,-39.668333
SBAC,Ceará,Aracati,-4.5686111,-37.804722
SBVT,Espírito Santo,Vitória,-20.258056,-40.286389
SBSL,Maranhão,São Luís,-2.5869444,-44.236111
SBZM,Minas Gerais,Goianá,-21.513056,-43.173056
SBTD,Paraná,Toledo,-24.685278,-53.696389
SWPM,Rondônia,Pimenta Bueno,-11.641667,-61.181111
SNAX,São Paulo,Assis,-22.638611,-50.455833
SBBU,São Paulo,Bauru,-22.343611,-49.053889
SDDR,São Paulo,Dracena,-21.460556,-51.606944
SBJD,São Paulo,Jundiaí,-23.181667,-46.943611
SNFU,Minas Gerais,Frutal,-20.004722,-48.958889
SBCZ,Acre,Cruzeiro do Sul,-7.5994444,-72.769444
SBFI,Paraná,Foz do Iguaçu,-25.600278,-54.485
SWHP,Mato Grosso,Água Boa,-14.019722,-52.151944
SBJI,Rondônia,Ji-Paraná,-10.870556,-61.846667
SNBR,Bahia,Barreiras,-12.079167,-45.009444
SBAT,Mato Grosso,Alta Floresta,-9.8663889,-56.105
SSER,Rio Grande do Sul,Erechim,-27.663333,-52.271944
SBBI,Paraná,Curitiba,-25.403333,-49.233611
SBTF,Amazonas,Tefé,-3.3802778,-64.725278
SWPI,Amazonas,Parintins,-2.6694444,-56.771111
SBMK,Minas Gerais,Montes Claros,-16.706111,-43.821944
SBAX,Minas Gerais,Araxá,-19.560556,-46.965556
SNOS,Minas Gerais,Passos,-20.733333,-46.659722
SNAE,Pernambuco,Arcoverde,-8.4077778,-37.088333
SDPN,São Paulo,Penápolis,-21.410278,-50.031944
SDNO,São Paulo,São Manuel,-22.696111,-48.576111
SWLC,Goiás,Rio Verde,-17.834722,-50.956111
SBKP,São Paulo,Campinas,-23.006944,-47.134444
SJRG,Rio Grande do Sul,Rio Grande,-32.083333,-52.1675
SNXB,Minas Gerais,Caxambu,-21.9175,-44.969444
SBFL,Santa Catarina,Florianópolis,-27.670278,-48.5525
SBPG,Paraná,Ponta Grossa,-25.184444,-50.143889
SBCG,Mato Grosso do Sul,Campo Grande,-20.469444,-54.670278
SNGN,Pernambuco,Garanhuns,-8.8344444,-36.471389
SDJV,São Paulo,São João da Boa Vista,-22.016667,-46.840556
SBJU,Ceará,Juazeiro do Norte,-7.2191667,-39.269444
SBRD,Mato Grosso,Rondonópolis,-16.588056,-54.721667
SSKZ,Rio Grande do Sul,Carazinho,-28.321667,-52.816667
SBME,Rio de Janeiro,Macaé,-22.342778,-41.763889
SNHS,Pernambuco,Serra Talhada,-8.0613889,-38.328611
SDVG,São Paulo,Votuporanga,-20.457222,-50.0025
SNAR,Minas Gerais,Almenara,-16.165833,-40.684167
SBBW,Mato Grosso,Barra do Garças,-15.860833,-52.389444
SBNF,Santa Catarina,Navegantes,-26.878611,-48.650833
SBJV,Santa Catarina,Joinville,-26.223056,-48.797778
SBSP,São Paulo,São Paulo,-23.626111,-46.656389
SBMT,São Paulo,São Paulo,-23.506667,-46.633889
SBAQ,São Paulo,Araraquara,-21.804444,-48.140278
SWXQ,São Paulo,Lins,-21.662778,-49.731111
SWGN,Tocantins,Araguaína,-7.2283333,-48.240833
SNCP,Santa Catarina,Lages,-27.634167,-50.358333
SSOE,Santa Catarina,São Miguel do Oeste,-26.781111,-53.503333
SBPL,Pernambuco,Petrolina,-9.3675,-40.563611
SDZG,Ceará,Tauá,-5.9333333,-40.2975
SDIM,São Paulo,Itanhaém,-24.164722,-46.785556
SBJE,Ceará,Cruz,-2.9066667,-40.358056
SBSG,Rio Grande do Norte,Natal,-5.7688889,-35.366389
SNCX,Espírito Santo,Colatina,-19.4875,-40.579444
SDCO,São Paulo,Sorocaba,-23.477778,-47.49
SDIY,Bahia,Feira de Santana,-12.200556,-38.906389
SNMX,Espírito Santo,São Mateus,-18.721389,-39.833611
SBUF,Bahia,Paulo Afonso,-9.4011111,-38.251111
SBBH,Minas Gerais,Belo Horizonte,-19.851944,-43.950556
SBVG,Minas Gerais,Varginha,-21.588889,-45.473333
SBGV,Minas Gerais,Governador Valadares,-18.896944,-41.986111
SBSI,Mato Grosso,Sinop,-11.885,-55.586111
SBMA,Pará,Marabá,-5.3680556,-49.138056
SBIL,Bahia,Ilhéus,-14.815,-39.033333
SNKR,Piauí,Corrente,-10.451944,-45.136389
SBLO,Paraná,Londrina,-23.330278,-51.136667
SSFB,Paraná,Francisco Beltrão,-26.058889,-53.063333
SBRJ,Rio de Janeiro,Rio de Janeiro,-22.91,-43.1625
SBCB,Rio de Janeiro,Cabo Frio,-22.920833,-42.071389
SBJA,Santa Catarina,Jaguaruna,-28.675278,-49.060278
SBSR,São Paulo,São José do Rio Preto,-20.816111,-49.404722
SBSJ,São Paulo,São José dos Campos,-23.228889,-45.871111
SDOU,São Paulo,Ourinhos,-22.973611,-49.911389
SBBP,São Paulo,Bragança Paulista,-22.979167,-46.5375
SDPE,Tocantins,Porto Nacional,-10.716944,-48.400278
SNPY,Minas Gerais,São Sebastião do Paraíso,-20.948333,-46.983056
SNOB,Ceará,Sobral,-3.6788889,-40.336667
SSZR,Rio Grande do Sul,Santa Rosa,-27.908889,-54.522222
SBJF,Minas Gerais,Juiz de Fora,-21.793056,-43.385556
SDAI,São Paulo,Americana,-22.755278,-47.268056
SBCY,Mato Grosso,Cuiabá,-15.65,-56.1175
SNJR,Minas Gerais,São João Del Rei,-21.085556,-44.225278
SNDV,Minas Gerais,Divinópolis,-20.181944,-44.87
SBTU,Pará,Tucuruí,-3.7769444,-49.719722
SNVB,Bahia,Valença,-13.296389,-38.9925
SBDO,Mato Grosso do Sul,Dourados,-22.200556,-54.925556
SBCJ,Pará,Parauapebas,-6.1152778,-50.001389
SJZA,Paraíba,Cajazeiras,-6.8827778,-38.615833
SSGG,Paraná,Guarapuava,-25.388333,-51.523611
SBPO,Paraná,Pato Branco,-26.217222,-52.694444
SSOG,Paraná,Arapongas,-23.355833,-51.490833
SBJR,Rio de Janeiro,Rio de Janeiro,-22.9875,-43.37
SBCP,Rio de Janeiro,Campos dos Goytacazes,-21.701111,-41.307778
SBPK,Rio Grande do Sul,Pelotas,-31.716111,-52.331111
SSCK,Santa Catarina,Concórdia,-27.180556,-52.051111
SDLP,São Paulo,Lençóis Paulista,-22.578333,-48.774444
SBGM,Rondônia,Guajará-Mirim,-10.788333,-65.281667
SWWA,Goiás,Porangatu,-13.404444,-49.157222
SWKT,Goiás,Catalão,-18.216944,-47.899444
SBIH,Pará,Itaituba,-4.2422222,-56.000833
SBEG,Amazonas,Manaus,-3.0411111,-60.050556
SBCT,Paraná,Curitiba,-25.531667,-49.176111
SSOL,Minas Gerais,Lavras,-21.240556,-44.964167
SDBK,São Paulo,Botucatu,-22.936667,-48.4675
SDRK,São Paulo,Rio Claro,-22.431667,-47.5625
SSFL,Piauí,Fronteiras,-7.1,-40.628333
SNPD,Minas Gerais,Patos de Minas,-18.672222,-46.491389
SBMQ,Amapá,Macapá,0.050833333,-51.070278
SBVC,Bahia,Vitória da Conquista,-14.907778,-40.914722
SBLE,Bahia,Lençóis,-12.482222,-41.276944
SNGI,Bahia,Guanambi,-14.208056,-42.746111
SBFZ,Ceará,Fortaleza,-3.7758333,-38.532222
SNYU,Minas Gerais,Iturama,-19.717222,-50.220278
SBHT,Pará,Altamira,-3.2508333,-52.252222
SSUM,Paraná,Umuarama,-23.799167,-53.313889
SSTE,Rio Grande do Sul,Torres,-29.415,-49.81
SBLJ,Santa Catarina,Lages,-27.782222,-50.281667
SDSC,São Paulo,São Carlos,-21.876389,-47.903333
SBGO,Goiás,Goiânia,-16.6325,-49.221111
SBMI,Rio de Janeiro,Maricá,-22.918056,-42.828889
SBUL,Minas Gerais,Uberlândia,-18.883611,-48.225278
SBTG,Mato Grosso do Sul,Três Lagoas,-20.751389,-51.680278
SBRF,Pernambuco,Recife,-8.1263889,-34.922778
SDTP,São Paulo,Tupã,-21.89,-50.505833
SSKW,Rondônia,Cacoal,-11.495556,-61.450833
SNDT,Minas Gerais,Diamantina,-18.232222,-43.650278
SBPF,Rio Grande do Sul,Passo Fundo,-28.244167,-52.328333
SNLN,Espírito Santo,Linhares,-19.355278,-40.071389
SBTE,Piauí,Teresina,-5.0605556,-42.824444
SNMH,Goiás,Pirenópolis,-15.848611,-48.982778
SBFN,Pernambuco,Fernando de Noronha,-3.8547222,-32.428333
SWJW,Goiás,Jataí,-17.83,-51.775278
SBGW,São Paulo,Guaratinguetá,-22.791667,-45.204444
SSCI,Mato Grosso do Sul,Coxim,-18.481389,-54.715833
SWXM,Mato Grosso,Matupá,-10.17,-54.953889
SSMJ,Mato Grosso do Sul,Maracaju,-21.633889,-55.145
SSIQ,Rio Grande do Sul,Itaqui,-29.171944,-56.538333
SWBG,Mato Grosso,Pontes e Lacerda,-15.193333,-59.385278
SWKO,Amazonas,Coari,-4.1338889,-63.131111
SBPB,Piauí,Parnaíba,-2.8938889,-41.730278
SNGD,Piauí,Guadalupe,-6.7822222,-43.582222
SNNU,Minas Gerais,Nanuque,-17.823056,-40.329722
SNJK,Bahia,Jequié,-13.877778,-40.071389
SIBU,Paraíba,Catolé do Rocha,-6.3625,-37.755278
SDTF,São Paulo,Tatuí,-23.331944,-47.88
SSCP,Paraná,Cornélio Procópio,-23.1525,-50.6025
SNLT,Piauí,Paulistana,-8.1663889,-41.153889
SSXX,Santa Catarina,Xanxerê,-26.875556,-52.373056
SSAE,Rio Grande do Sul,Arroio Grande,-32.229167,-53.055833
SJOG,Rondônia,Ariquemes,-9.8805556,-63.047222
SSGA,Rio Grande do Sul,Garibaldi,-29.268333,-51.532222
SNNE,Minas Gerais,São João Nepomuceno,-21.542222,-43.021111
SNYE,Maranhão,Pinheiro,-2.4775,-45.105
SNCT,Minas Gerais,Ubaporanga,-19.725278,-42.112222
SNLO,Minas Gerais,São Lourenço,-22.091667,-45.045278
SSSB,Rio Grande do Sul,São Borja,-28.654722,-56.034722
SDFX,Bahia,Casa Nova,-9.1575,-40.9375
SSRU,Rio Grande do Sul,São Lourenço do Sul,-31.384722,-52.0325
SSEP,Rio Grande do Sul,São Sepé,-30.182222,-53.579444
SNRX,Maranhão,Riachão,-7.3502778,-46.633889
SWDM,Mato Grosso,Diamantino,-14.376667,-56.400556
SSIJ,Rio Grande do Sul,Ijuí,-28.368611,-53.846389
SNIB,Bahia,Itaberaba,-12.499722,-40.270278
SBCR,Mato Grosso do Sul,Corumbá,-19.011944,-57.671389
SBSN,Pará,Santarém,-2.4247222,-54.785833
SSVI,Santa Catarina,Videira,-26.999722,-51.141389
SNMK,Minas Gerais,Jaíba,-15.093056,-43.979167
SNTQ,Bahia,Buritirama,-10.721667,-43.653611
SWCA,Amazonas,Carauari,-4.8713889,-66.8975
SDIG,São Paulo,Ibitinga,-21.747222,-48.855833
SNIT,Bahia,Ibotirama,-12.168333,-43.2225
SWKC,Mato Grosso,Cáceres,-16.042778,-57.629722
SSPI,Paraná,Paranavaí,-23.09,-52.488611
SSLO,Paraná,Loanda,-22.917778,-53.149722
SNWS,Ceará,Crateús,-5.2111111,-40.704167
SSRF,Bahia,Castro Alves,-12.765833,-39.451111
SBIC,Amazonas,Itacoatiara,-3.1263889,-58.481667
SWFR,Goiás,Formosa,-15.556111,-47.345278
SDJO,São Paulo,São Joaquim da Barra,-20.593333,-47.842222
SNOX,Pará,Oriximiná,-1.7136111,-55.835833
SNSS,Minas Gerais,Salinas,-16.208333,-42.321944
SDNH,São Paulo,Novo Horizonte,-21.497778,-49.234444
SSTB,Santa Catarina,Três Barras,-26.132778,-50.309722
SNSE,Bahia,Sento Sé,-9.7575,-41.855
SNMJ,Bahia,Maracás,-13.386111,-40.466111
SDCA,São Paulo,Capão Bonito,-24.033611,-48.356944
SBBR,Distrito Federal,Brasília,-15.871111,-47.918611
SWTS,Mato Grosso,Tangará da Serra,-14.661944,-57.443889
SBPJ,Tocantins,Palmas,-10.29,-48.357778
SWYN,Amazonas,Apuí,-7.1722222,-59.838889
SNSG,Pernambuco,Salgueiro,-8.0466667,-39.133889
SSGY,Paraná,Guaíra,-24.079722,-54.188056
SNVS,Pará,Breves,-1.6363889,-50.443333
SSSC,Rio Grande do Sul,Santa Cruz do Sul,-29.684167,-52.412222
SWRO,Rondônia,Porto Velho,-8.7936111,-63.858056
SNPC,Piauí,Picos,-7.0613889,-41.525833
